Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
210,laboratory-scale systems,VFCW,30 ,25.0 ,75.0 ,6.0 ,44.85 ,12.32 ,4.85 ,3.64 ,0.00 ,0 ,0.0 ,0 ,61.2185 ,0.0000 ,18.2777 ,0.0000 ,0.6304 ,0.0000 
211,laboratory-scale systems,VFCW,30 ,50.0 ,50.0 ,6.0 ,44.85 ,12.32 ,4.85 ,3.64 ,0.00 ,0 ,0.0 ,0 ,44.3830 ,0.0000 ,12.6658 ,1.8811 ,0.6304 ,0.0000 
212,laboratory-scale systems,VFCW,30 ,75.0 ,25.0 ,6.0 ,44.85 ,12.32 ,4.85 ,3.64 ,0.00 ,0 ,0.0 ,0 ,47.6435 ,0.0000 ,8.1513 ,1.7243 ,0.6304 ,0.0000 
213,laboratory-scale systems,VFCW,165 ,17.5 ,17.5 ,72.0 ,60.00 ,20.00 ,8.00 ,3.00 ,0.00 ,0 ,0.0 ,0 ,51.9770 ,0.0000 ,5.4470 ,0.0000 ,0.9020 ,0.0000 
214,laboratory-scale systems,VFCW,165 ,17.5 ,17.5 ,72.0 ,60.00 ,20.00 ,8.00 ,3.00 ,0.00 ,0 ,0.0 ,0 ,34.5970 ,0.0000 ,7.2940 ,0.0000 ,0.6330 ,0.0000 
215,laboratory-scale systems,VFCW,165 ,17.5 ,17.5 ,72.0 ,60.00 ,20.00 ,8.00 ,3.00 ,0.00 ,0 ,0.0 ,0 ,19.6870 ,0.0000 ,9.8790 ,0.0000 ,0.5080 ,0.0000 
216,laboratory-scale systems,VFCW,165 ,17.5 ,17.5 ,72.0 ,60.00 ,20.00 ,8.00 ,3.00 ,0.00 ,0 ,0.0 ,0 ,24.0500 ,0.0000 ,6.9470 ,0.0000 ,0.3790 ,0.0000 
217,laboratory-scale systems,VFCW,50 ,40.0 ,20.0 ,72.0 ,60.06 ,35.83 ,4.86 ,1.68 ,0.00 ,0 ,0.0 ,0 ,27.0568 ,8.6193 ,54.7650 ,5.1031 ,0.7311 ,0.0000 
218,laboratory-scale systems,VFCW,50 ,20.0 ,40.0 ,72.0 ,60.06 ,35.83 ,4.86 ,1.68 ,0.00 ,0 ,0.0 ,0 ,17.1306 ,6.3166 ,49.2690 ,4.9164 ,0.7311 ,0.0000 
219,laboratory-scale systems,VFCW,210 ,40.0 ,40.0 ,48.0 ,570.32 ,32.08 ,20.14 ,17.78 ,0.00 ,0 ,0.0 ,0 ,57.2920 ,3.7780 ,10.2600 ,4.3550 ,0.4819 ,0.0000 
220,laboratory-scale systems,VFCW,210 ,40.0 ,40.0 ,48.0 ,570.32 ,32.08 ,20.14 ,17.78 ,0.00 ,0 ,0.0 ,0 ,51.0730 ,2.2040 ,4.0930 ,2.2040 ,0.5313 ,0.0000 
221,laboratory-scale systems,VFCW,210 ,40.0 ,40.0 ,48.0 ,570.32 ,32.08 ,20.14 ,17.78 ,0.00 ,0 ,0.0 ,0 ,58.2630 ,11.1570 ,5.7410 ,7.0060 ,0.3772 ,0.0000 
222,laboratory-scale systems,VFCW,210 ,40.0 ,40.0 ,48.0 ,570.32 ,32.08 ,20.14 ,17.78 ,0.00 ,0 ,0.0 ,0 ,44.2250 ,10.9150 ,4.3030 ,10.0760 ,0.9366 ,0.0000 
