Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
35,laboratory-scale systems,VFCW,60 ,5.0 ,50.0 ,117.6 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,23.2000 ,0.0000 ,9.4900 ,0.0000 ,0.5210 ,0.9472 
36,laboratory-scale systems,VFCW,90 ,5.0 ,50.0 ,117.6 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,28.1800 ,0.0000 ,10.6600 ,0.0000 ,0.5210 ,0.9472 
37,laboratory-scale systems,VFCW,165 ,15.0 ,15.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,54.4946 ,0.0000 ,23.1285 ,14.7166 ,0.0000 ,0.0000 
38,laboratory-scale systems,VFCW,165 ,40.0 ,40.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,73.1399 ,0.0000 ,0.0000 ,0.0000 ,0.3828 ,0.8403 
39,laboratory-scale systems,VFCW,165 ,65.0 ,65.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,70.9891 ,0.0000 ,0.0000 ,0.0000 ,0.5212 ,0.9740 
40,laboratory-scale systems,VFCW,165 ,65.0 ,105.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,55.4522 ,0.0000 ,0.0000 ,0.0000 ,0.5221 ,0.9747 
41,laboratory-scale systems,VFCW,165 ,40.0 ,130.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,46.2380 ,0.0000 ,0.0000 ,0.0000 ,0.5479 ,0.9901 
42,laboratory-scale systems,VFCW,165 ,15.0 ,155.0 ,48.0 ,601.92 ,33.34 ,20.67 ,18.05 ,103.08 ,1 ,0.9 ,535 ,41.6006 ,0.0000 ,0.0000 ,0.0000 ,0.5527 ,0.9894 
43,laboratory-scale systems,VFCW,165 ,15.0 ,15.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,56.9246 ,0.0000 ,27.7500 ,0.0000 ,0.0000 ,0.0000 
44,laboratory-scale systems,VFCW,165 ,40.0 ,40.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,55.4416 ,0.0000 ,0.0000 ,0.0000 ,0.2906 ,0.0000 
45,laboratory-scale systems,VFCW,165 ,65.0 ,65.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,64.8411 ,0.0000 ,0.0000 ,8.6151 ,0.5510 ,0.0000 
46,laboratory-scale systems,VFCW,165 ,65.0 ,105.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,52.1576 ,0.0000 ,0.0000 ,0.0000 ,0.5527 ,0.0000 
47,laboratory-scale systems,VFCW,165 ,40.0 ,130.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,54.9129 ,0.0000 ,0.0000 ,0.0000 ,0.5739 ,0.0000 
48,laboratory-scale systems,VFCW,165 ,15.0 ,155.0 ,48.0 ,557.54 ,33.75 ,21.07 ,16.52 ,0.00 ,0 ,0.0 ,0 ,41.8928 ,0.0000 ,0.0000 ,0.0000 ,0.5841 ,0.0000 
49,laboratory-scale systems,VFCW,70 ,5.0 ,73.0 ,72.0 ,374.88 ,42.98 ,42.98 ,8.72 ,4000.00 ,1 ,0.9 ,535 ,79.0713 ,4.9832 ,2.6554 ,11.0991 ,0.5963 ,0.7132 
50,laboratory-scale systems,VFCW,70 ,39.0 ,39.0 ,72.0 ,374.88 ,42.98 ,42.98 ,8.72 ,4000.00 ,1 ,0.9 ,535 ,46.2031 ,18.9338 ,3.6684 ,7.1002 ,0.5963 ,0.7132 
51,laboratory-scale systems,VFCW,80 ,25.0 ,25.0 ,72.0 ,100.00 ,39.00 ,25.00 ,2.56 ,0.00 ,0 ,0.0 ,0 ,25.1100 ,15.9502 ,4.8476 ,16.3524 ,0.5185 ,0.0000 
52,laboratory-scale systems,VFCW,50 ,17.5 ,17.5 ,240.0 ,60.00 ,20.00 ,8.00 ,3.00 ,154.60 ,1 ,0.9 ,535 ,22.0325 ,1.9390 ,4.7375 ,50.4331 ,0.4940 ,0.2850 
53,laboratory-scale systems,VFCW,100 ,17.5 ,17.5 ,240.0 ,60.00 ,20.00 ,8.00 ,3.00 ,154.60 ,1 ,0.9 ,535 ,33.9197 ,1.9642 ,7.1830 ,24.9192 ,0.4940 ,0.2850 
54,laboratory-scale systems,VFCW,50 ,17.5 ,17.5 ,240.0 ,60.00 ,20.00 ,8.00 ,3.00 ,154.60 ,1 ,0.9 ,535 ,22.5380 ,15.2270 ,4.1420 ,38.0800 ,0.6920 ,0.6530 
55,laboratory-scale systems,VFCW,100 ,17.5 ,17.5 ,240.0 ,60.00 ,20.00 ,8.00 ,3.00 ,154.60 ,1 ,0.9 ,535 ,43.4330 ,4.9250 ,9.2050 ,26.8930 ,0.6920 ,0.6530 
56,laboratory-scale systems,VFCW,365 ,40.0 ,40.0 ,48.0 ,559.79 ,32.34 ,20.63 ,17.31 ,100.00 ,1 ,0.9 ,535 ,73.0502 ,0.0000 ,5.7840 ,0.0000 ,0.3992 ,0.9536 
57,laboratory-scale systems,VFCW,365 ,40.0 ,40.0 ,48.0 ,559.79 ,32.34 ,20.63 ,17.31 ,100.00 ,1 ,0.9 ,535 ,46.5436 ,0.0000 ,5.0151 ,0.0000 ,0.5424 ,0.9540 
58,laboratory-scale systems,VFCW,365 ,40.0 ,40.0 ,48.0 ,559.79 ,32.34 ,20.63 ,17.31 ,0.00 ,0 ,0.0 ,0 ,67.8243 ,0.0000 ,11.8146 ,0.0000 ,0.4579 ,0.0000 
59,laboratory-scale systems,VFCW,365 ,40.0 ,40.0 ,48.0 ,559.79 ,32.34 ,20.63 ,17.31 ,0.00 ,0 ,0.0 ,0 ,56.0824 ,0.0000 ,6.5543 ,0.0000 ,0.6398 ,0.0000 
60,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,0.00 ,0 ,0.0 ,0 ,45.0357 ,13.3328 ,8.0755 ,5.8065 ,0.3400 ,0.0000 
61,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,0.10 ,10 ,-0.4 ,1484 ,44.6206 ,13.0037 ,7.2029 ,7.2216 ,0.3700 ,0.9784 
62,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,10.00 ,10 ,-0.4 ,1484 ,42.5102 ,15.5411 ,8.9660 ,6.0993 ,0.3600 ,0.9784 
63,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,1000.00 ,10 ,-0.4 ,1484 ,56.6241 ,5.8553 ,14.0284 ,4.4403 ,0.3900 ,0.9784 
64,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,0.00 ,0 ,0.0 ,0 ,50.2930 ,11.1130 ,6.7458 ,9.5034 ,0.3100 ,0.0000 
65,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,0.10 ,10 ,-0.4 ,1484 ,48.4144 ,13.9552 ,6.2091 ,5.2088 ,0.3200 ,0.9784 
66,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,10.00 ,10 ,-0.4 ,1484 ,49.9026 ,17.4928 ,5.8188 ,4.4565 ,0.3200 ,0.9784 
67,laboratory-scale systems,VFCW,84 ,10.0 ,20.0 ,72.0 ,43.26 ,12.68 ,1.54 ,3.41 ,1000.00 ,10 ,-0.4 ,1484 ,42.7298 ,16.0046 ,8.9660 ,6.8312 ,0.3100 ,0.9784 
68,laboratory-scale systems,VFCW,30 ,9.0 ,9.0 ,72.0 ,56.88 ,11.81 ,1.84 ,4.82 ,0.00 ,0 ,0.0 ,0 ,93.5409 ,1.0646 ,1.7235 ,3.0675 ,0.6720 ,0.0000 
69,laboratory-scale systems,VFCW,30 ,9.0 ,9.0 ,72.0 ,56.88 ,11.81 ,1.84 ,4.82 ,86.20 ,10 ,-0.4 ,1484 ,73.5614 ,2.3695 ,6.7744 ,11.5525 ,0.6760 ,0.9784 
70,laboratory-scale systems,VFCW,30 ,9.0 ,9.0 ,72.0 ,56.88 ,11.81 ,1.84 ,4.82 ,86.90 ,100 ,-2.0 ,2350 ,97.6805 ,0.5526 ,0.7727 ,0.3578 ,0.7600 ,0.6188 
71,laboratory-scale systems,VFCW,30 ,9.0 ,9.0 ,72.0 ,56.88 ,11.81 ,1.84 ,4.82 ,153.50 ,110 ,-1.1 ,1885 ,92.3093 ,2.0159 ,2.8841 ,1.3392 ,0.6230 ,0.8118 
72,laboratory-scale systems,VFCW,0 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,14.4545 ,3.2432 ,0.6082 ,0.0000 
73,laboratory-scale systems,VFCW,0 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,14.7347 ,13.1331 ,0.6082 ,0.0000 
74,laboratory-scale systems,VFCW,10 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,17.5776 ,10.5305 ,0.5054 ,0.3765 
75,laboratory-scale systems,VFCW,10 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,16.8569 ,12.3724 ,0.5054 ,0.3765 
76,laboratory-scale systems,VFCW,30 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,11.7718 ,21.7017 ,0.4906 ,0.3548 
77,laboratory-scale systems,VFCW,30 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,4.6046 ,40.0000 ,0.4906 ,0.3545 
78,laboratory-scale systems,VFCW,60 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,13.1331 ,15.2152 ,0.5372 ,0.6310 
79,laboratory-scale systems,VFCW,60 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,300.00 ,3 ,0.4 ,598 ,0.0000 ,0.0000 ,12.6927 ,17.5776 ,0.5372 ,0.6310 
80,laboratory-scale systems,VFCW,0 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,15.6557 ,2.1221 ,0.4877 ,0.0000 
81,laboratory-scale systems,VFCW,0 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,14.0941 ,11.7718 ,0.4877 ,0.0000 
82,laboratory-scale systems,VFCW,10 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,15.6557 ,9.2492 ,0.5104 ,0.0000 
83,laboratory-scale systems,VFCW,10 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,17.2973 ,17.2973 ,0.5104 ,0.0000 
84,laboratory-scale systems,VFCW,30 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,10.9710 ,28.8689 ,0.4036 ,0.0000 
85,laboratory-scale systems,VFCW,30 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,12.3724 ,27.2673 ,0.4036 ,0.0000 
86,laboratory-scale systems,VFCW,60 ,60.0 ,60.0 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,11.7718 ,22.5425 ,0.4095 ,0.0000 
87,laboratory-scale systems,VFCW,60 ,32.5 ,32.5 ,108.0 ,300.00 ,48.00 ,48.00 ,6.25 ,0.00 ,0 ,0.0 ,0 ,0.0000 ,0.0000 ,22.5425 ,10.5305 ,0.4095 ,0.0000 
