Number,c(A)(¦Ìg/L),Antibiotic1,Concentration(¦Ìg/L),Removal rate,Antibiotic2,Concentration(¦Ìg/L),Removal rate,Antibiotic3,Concentration(¦Ìg/L),Removal rate,Antibiotic4,Concentration(¦Ìg/L),Removal rate,Antibiotic5,Concentration(¦Ìg/L),Removal rate,Antibiotic6,Concentration(¦Ìg/L),Removal rate,Antibiotic7,Concentration(¦Ìg/L),Removal rate,Antibiotic8,Concentration(¦Ìg/L),Removal rate
114,100.00 ,SMX,100,0.1957066,N-SMX,0,0.9974612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,100.00 ,SMX,100,0.8652642,N-SMX,0,0.9839257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,10000.00 ,TET,10000,0.6187725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,10000.00 ,TET,10000,0.6187725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,2000.00 ,CIP,2000,0.7506474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2000.00 ,CIP,2000,0.7506474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,4000.00 ,SDZ ,4000,0.99799167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,4000.00 ,SDZ ,4000,0.9971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,1001.00 ,SMX,1000,0.88288935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1001.00 ,SMX,1000,0.88288935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1001.00 ,SMX,1000,0.88288935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1001.00 ,SMX,1000,0.88288935,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,100.00 ,SMX,100,0.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,100.00 ,SMX,100,0.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,100.00 ,SMX,100,0.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,100.00 ,SMX,100,0.9909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,100.00 ,ENR,100,0.821530182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,200.00 ,OFL,100,1,NFX,50,1,CIP,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,4.62 ,OTC,2.85,0.6377,CIP,0.79,0.4352,SMZ,0.98,0.2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,4.62 ,OTC,2.85,0.6377,CIP,0.79,0.4352,SMZ,0.98,0.2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,60.00 ,OTC,30,0.852,CIP,30,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,60.00 ,OTC,30,0.852,CIP,30,0.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,60.00 ,OTC,30,0.954666667,CIP,30,0.928666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,60.00 ,OTC,30,0.954666667,CIP,30,0.928666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,60.00 ,OTC,30,0.954666667,CIP,30,0.928666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,60.00 ,OTC,30,0.981,CIP,30,0.962333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,60.00 ,OTC,30,0.981,CIP,30,0.962333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,60.00 ,OTC,30,0.981,CIP,30,0.962333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,199.60 ,SMX,199.6,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,199.60 ,SMX,199.6,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,199.60 ,SMX,199.6,0.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,199.60 ,SMX,199.6,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,199.60 ,SMX,199.6,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,199.60 ,SMX,199.6,0.9935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,199.60 ,SMX,199.6,0.9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,199.60 ,SMX,199.6,0.9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,199.60 ,SMX,199.6,0.9787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,199.60 ,SMX,199.6,0.9489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,199.60 ,SMX,199.6,0.9489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,199.60 ,SMX,199.6,0.9489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,0.00 ,SMZ,0,0,OFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,400.00 ,SMZ,200,0.476802028,OFL,200,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,1000.00 ,SMZ,500,0.476802028,OFL,500,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,2000.00 ,SMZ,1000,0.476802028,OFL,1000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,10000.00 ,SMZ,5000,0.476802028,OFL,5000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,20000.00 ,SMZ,10000,0.476802028,OFL,10000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,10000.00 ,SMZ,10000,0.476802028,OFL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,10000.00 ,SMZ,0,0,OFL,10000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
